method,run_mode,evaluation_status,prequential_topic_accuracy,topic_accuracy_basis,strict_chunk_recall@5,strict_chunk_ndcg@5,strict_chunk_mrr@5,document_recall@5,document_ndcg@5,document_mrr@5,page_window_recall@5,ndcg@5,mrr@5,faithfulness,answer_relevance,citation_correctness,citation_hit_rate,mean_latency_ms,p95_latency_ms,helps_count,hurts_count,peft_qlora_mode,eval_source,soft_Recall@5,max_soft_relevance,mean_bm25_weight,mean_dense_weight,topic_source,adaptation_target,weight_control_status,using_graphrag_executor,graph_db_ready,graph_node_count,n_method_rows
static_graphrag,final,final_d3_gold_run,0.2667,gold_true_topic_only,0.8,0.8,0.8,0.9333,0.8977,0.9,0.8667,0.8977,0.9,0.6794,0.7085,0.9333,1.0,11433.4667,32150.6,0,0,trained_adapter_compared,d3_gold_qa.csv,1.0,0.8585,0.5,0.5,none,none,applied,True,True,552,15
topic_gated_graphrag,final,final_d3_gold_run,0.2667,gold_true_topic_only,0.8,0.8,0.8,0.9333,0.8977,0.9,0.8667,0.8977,0.9,0.6794,0.7085,0.9333,1.0,3007.5333,4756.7,0,0,trained_adapter_compared,d3_gold_qa.csv,1.0,0.8585,0.5267,0.4733,keyword_fallback,BM25/dense weights + graph profile signal,applied,True,True,552,15
feedback_adaptive_graphrag,final,final_d3_gold_run,0.2667,gold_true_topic_only,0.8,0.8,0.8,0.9333,0.8977,0.9,0.8667,0.8977,0.9,0.6794,0.7085,0.9333,1.0,3091.5333,6559.1,0,0,trained_adapter_compared,d3_gold_qa.csv,1.0,0.8585,0.3933,0.6067,keyword_fallback + FeedbackAdapter,BM25/dense weights; graph profile logged if supported,applied,True,True,552,15
