method,training_status,dataset_rows,faithfulness,answer_relevance,citation_correct,mean_latency_ms,p95_latency_ms,model_or_adapter,notes
zero_shot_graphrag_baseline,completed_baseline_only,15,0.1912,0.1912,0.2667,10305.12,11824.94,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Base model zero-shot on same 15-row QA set.
qlora_tuned_adapter,completed,15,0.2259,0.2259,1.0,17983.07,18266.5,models/qlora_adapter,Kaggle GPU QLoRA run; metrics are lightweight lexical/provenance proxies on the 15-row tuning/eval set; adapter saved locally at models/qlora_adapter; epochs=15.
