method,Topic source,BM25 weight source,Recall@5,MRR@5,nDCG@5,Answer citation hit rate,Prequential topic accuracy,Mean latency ms,Final mean BM25 weight,Final mean dense weight,Notes
adaptive,River prediction,FeedbackAdapter per-topic weights,0.585,0.4561,0.4891,0.3667,0.7833,269.1846,0.5076,0.4924,routing + online adaptation
static,none,fixed 0.50 / 0.50,0.5767,0.4502,0.4809,0.3517,0.7833,279.0797,0.5,0.5,baseline
topic_gated,River prediction,fixed topic profile,0.59,0.4578,0.4899,0.3717,0.7833,312.3795,0.5228,0.4772,routing only
