System,Hit@5,Recall@5,NDCG@5,Precision@5,MRR,p95 latency (ms)
bm25_only,1.0,0.031023977107148226,0.9638620957540229,0.7733333333333334,1.0,677.692495998599
dense_only,0.4666666666666667,0.005811122028986084,0.37381739617724297,0.17333333333333334,0.3466666666666667,128.47162649861275
hybrid_rrf,1.0,0.02479752832517795,0.9064061016427599,0.6,0.9166666666666666,681.7176204978022
topic_gated,1.0,0.024368097277334834,0.9120285851891164,0.5999999999999999,0.95,1192.2966605033796
graph_guided,0.4,0.01349548149696213,0.355370104570925,0.29333333333333333,0.32222222222222224,2421.436222501506
