query_id,system,hit_at_5,recall_at_5,ndcg_at_5,precision_at_5,p95_ms,mean_ms
DQ001,bm25_only,0.0,0.0,0.0,0.0,109.06012002378702,92.65042002080008
DQ001,dense_only,1.0,0.13793103448275862,0.7606395682357036,0.8,18.786380026722327,17.532289994414896
DQ001,hybrid_rrf,1.0,0.034482758620689655,0.43067655807339306,0.2,236.79207999957708,132.97937002498657
DQ001,topic_gated,0.0,0.0,0.0,0.0,150.16930999117903,138.79226999124512
DQ001,graph_guided,0.0,0.0,0.0,0.0,326.95162498857803,218.46352998400107
DQ002,bm25_only,0.0,0.0,0.0,0.0,92.06484000314958,84.04154001036659
DQ002,dense_only,0.0,0.0,0.0,0.0,19.468679931014776,18.042039999272674
DQ002,hybrid_rrf,0.0,0.0,0.0,0.0,200.24393499479612,106.6342200152576
DQ002,topic_gated,0.0,0.0,0.0,0.0,125.85846997098996,107.03383000800386
DQ002,graph_guided,0.0,0.0,0.0,0.0,233.63346998230537,144.17986000189558
DQ003,bm25_only,1.0,0.08928571428571429,1.0,1.0,103.37300501996651,86.86415998963639
DQ003,dense_only,1.0,0.08928571428571429,1.0,1.0,22.244999994290993,19.860500004142523
DQ003,hybrid_rrf,1.0,0.08928571428571429,1.0,1.0,216.51544503401948,128.81177002564073
DQ003,topic_gated,1.0,0.05357142857142857,0.8854598815714874,0.6,123.86121000745334,112.41028001531959
DQ003,graph_guided,1.0,0.03571428571428571,0.5012658353418871,0.4,266.9837849563918,158.01460997899994
DQ004,bm25_only,1.0,0.45454545454545453,1.0,1.0,68.0861700384412,65.06425000261515
DQ004,dense_only,1.0,0.09090909090909091,1.0,0.2,19.511875056196,16.889360011555254
DQ004,hybrid_rrf,1.0,0.2727272727272727,0.9674679834891693,0.6,194.4479250116272,110.80731002148241
DQ004,topic_gated,1.0,0.45454545454545453,1.0,1.0,131.30410002195276,110.45479000313208
DQ004,graph_guided,1.0,0.2727272727272727,0.9469024295259745,0.6,300.8990699483545,188.53979997802526
DQ005,bm25_only,0.0,0.0,0.0,0.0,147.10210002376698,122.44118000380695
DQ005,dense_only,1.0,0.043478260869565216,1.0,1.0,23.359729954972863,19.529809977393597
DQ005,hybrid_rrf,1.0,0.034782608695652174,0.9828920819566879,0.8,161.75999497063455,136.03949998505414
DQ005,topic_gated,0.0,0.0,0.0,0.0,257.07166002248397,163.82409000070766
DQ005,graph_guided,1.0,0.034782608695652174,1.0,0.8,248.11006998643276,206.180319970008
DQ006,bm25_only,1.0,0.06944444444444445,1.0,1.0,199.9342600349335,100.90093000326306
DQ006,dense_only,1.0,0.06944444444444445,1.0,1.0,20.647935016313564,18.230439990293235
DQ006,hybrid_rrf,1.0,0.06944444444444445,1.0,1.0,121.36352495290339,102.78750999132171
DQ006,topic_gated,1.0,0.041666666666666664,0.8854598815714874,0.6,252.8270299430004,132.64174999203533
DQ006,graph_guided,1.0,0.06944444444444445,1.0,1.0,155.77726500923742,129.3390900362283
DQ007,bm25_only,0.0,0.0,0.0,0.0,182.24184499122185,94.6693199686706
DQ007,dense_only,1.0,0.060240963855421686,1.0,1.0,21.4853199548088,20.424489956349134
DQ007,hybrid_rrf,1.0,0.024096385542168676,0.6509209298071326,0.4,107.95116996159777,96.70407999074087
DQ007,topic_gated,0.0,0.0,0.0,0.0,123.39265995542517,104.28127999184653
DQ007,graph_guided,0.0,0.0,0.0,0.0,289.45526501629485,187.17914000153542
DQ008,bm25_only,1.0,0.22727272727272727,1.0,1.0,87.92541499715298,82.21156998770311
DQ008,dense_only,1.0,0.22727272727272727,1.0,1.0,18.17673992482014,17.061039991676807
DQ008,hybrid_rrf,1.0,0.22727272727272727,1.0,1.0,260.9509200672618,150.73945003096014
DQ008,topic_gated,1.0,0.22727272727272727,1.0,1.0,143.39788997313005,123.2105600181967
DQ008,graph_guided,1.0,0.22727272727272727,1.0,1.0,294.8122649628201,191.69054997619241
DQ009,bm25_only,1.0,0.35714285714285715,1.0,1.0,100.18754994380288,93.71214996790513
DQ009,dense_only,1.0,0.35714285714285715,1.0,1.0,25.246064976090565,22.958919988013804
DQ009,hybrid_rrf,1.0,0.35714285714285715,1.0,1.0,224.43844499066455,134.22439001733437
DQ009,topic_gated,1.0,0.35714285714285715,1.0,1.0,269.30181000498106,153.08308999519795
DQ009,graph_guided,1.0,0.2857142857142857,1.0,0.8,242.7024550270289,197.26053999038413
DQ010,bm25_only,1.0,0.2631578947368421,1.0,1.0,190.9127100137992,101.29726999439299
DQ010,dense_only,1.0,0.2631578947368421,1.0,1.0,24.17337501537986,20.743230008520186
DQ010,hybrid_rrf,1.0,0.2631578947368421,1.0,1.0,106.37170000118203,94.23993001691997
DQ010,topic_gated,1.0,0.2631578947368421,1.0,1.0,119.42973000113852,115.04229999845847
DQ010,graph_guided,1.0,0.2631578947368421,1.0,1.0,265.7119049457832,176.97285996982828
