stage,status,duration_sec,hardware,torch_version,cuda_available,peft_installed,bitsandbytes_installed,trl_installed,notes
environment_check,completed,0.0,Tesla T4,2.10.0+cu128,True,True,True,True,Kaggle GPU environment.
tuning_dataset_build,completed,0.0,Tesla T4,2.10.0+cu128,True,True,True,True,Loaded 15 rows from finetune_qa.jsonl.
qlora_training,completed,133.31,Tesla T4,2.10.0+cu128,True,True,True,True,Base model=TinyLlama/TinyLlama-1.1B-Chat-v1.0; LoRA r=16 alpha=32 dropout=0.05; epochs=15; adapter copied to models/qlora_adapter.
